,id_materia,codigo,metodo,cluster,asignatura,titulacion
522,65646,CURSO_PRE-TNADI077_18,AFFINITY-PROPAGATION,264,GESTIÓN PRODUCTIVA GP 1.2,ARTES PLÁSTICAS Y DISEÑO
523,65937,CURSO_PRE-TNADI050_18,AFFINITY-PROPAGATION,60,DIBUJO ARTÍSTICO V,ARTES PLÁSTICAS Y DISEÑO
524,65946,CURSO_PRE-TNADI020_18,AFFINITY-PROPAGATION,274,DISEÑO I,ARTES PLÁSTICAS Y DISEÑO
525,65955,CURSO_PRE-TNADI091_18,AFFINITY-PROPAGATION,273,HISTORIA DEL ARTE VI,ARTES PLÁSTICAS Y DISEÑO
526,65964,CURSO_PRE-TNADI052_18,AFFINITY-PROPAGATION,277,PINTURA V,ARTES PLÁSTICAS Y DISEÑO
527,65973,CURSO_PRE-TNADI092_18,AFFINITY-PROPAGATION,142,GESTIÓN PRODUCTIVA GP 3.2,ARTES PLÁSTICAS Y DISEÑO
528,65982,CURSO_PRE-TNADI074_18,AFFINITY-PROPAGATION,140,ESCULTURA III,ARTES PLÁSTICAS Y DISEÑO
529,65991,CURSO_PRE-TNADI073_18,AFFINITY-PROPAGATION,60,DIBUJO ARTÍSTICO III,ARTES PLÁSTICAS Y DISEÑO
530,66000,CURSO_PRE-TNADI083_18,AFFINITY-PROPAGATION,276,GESTIÓN PRODUCTIVA GP 2.1,ARTES PLÁSTICAS Y DISEÑO
531,66203,CURSO_PRE-TNADI090_18,AFFINITY-PROPAGATION,143,GESTIÓN PRODUCTIVA GP 3.1,ARTES PLÁSTICAS Y DISEÑO
532,66462,CURSO_PRE-TNADI075_18,AFFINITY-PROPAGATION,277,PINTURA III,ARTES PLÁSTICAS Y DISEÑO
533,66471,CURSO_PRE-TNADI076_18,AFFINITY-PROPAGATION,60,ANATOMÍA ARTÍSTICA,ARTES PLÁSTICAS Y DISEÑO
534,66480,CURSO_UTPL-TNEC006_18,AFFINITY-PROPAGATION,132,ESTADÍSTICA II,ECONOMÍA
535,67160,CURSO_UTPL-TNEC012_18,AFFINITY-PROPAGATION,83,CÁLCULO II,ECONOMÍA
536,67169,CURSO_UTPL-TNEC017_18,AFFINITY-PROPAGATION,281,ECONOMETRÍA II,ECONOMÍA
537,67178,CURSO_UTPL-TNEC010_18,AFFINITY-PROPAGATION,57,HISTORIA DEL PENSAMIENTO ECONÓMICO,ECONOMÍA
538,67187,CURSO_PRE-TNEC060_18,AFFINITY-PROPAGATION,144,GESTIÓN PRODUCTIVA GP 1,ECONOMÍA
539,67196,CURSO_UTPL-TNEC003_18,AFFINITY-PROPAGATION,42,MICROECONOMÍA I,ECONOMÍA
540,67205,CURSO_UTPL-TNEC025_18,AFFINITY-PROPAGATION,285,PROYECTOS II,ECONOMÍA
541,67214,CURSO_PRE-TNEC062_18,AFFINITY-PROPAGATION,145,GESTIÓN PRODUCTIVA GP 3.1,ECONOMÍA
542,67223,CURSO_PRE-TNEC065_18,AFFINITY-PROPAGATION,73,GESTIÓN PRODUCTIVA GP 4.1,ECONOMÍA
543,67487,CURSO_UTPL-TNICA002_18,AFFINITY-PROPAGATION,82,CONTABILIDAD GENERAL,ECONOMÍA
544,68092,CURSO_UTPL-TNEC015_18,AFFINITY-PROPAGATION,42,MICROECONOMÍA III,ECONOMÍA
545,68101,CURSO_UTPL-TNEC001_18,AFFINITY-PROPAGATION,59,MATEMÁTICA,ECONOMÍA
546,68479,CURSO_UTPL-TN0086_18,AFFINITY-PROPAGATION,211,ECONOMIA,GASTRONOMÍA
547,68996,CURSO_PRE-TNEC063_18,AFFINITY-PROPAGATION,146,GESTIÓN PRODUCTIVA GP 3.2,ECONOMÍA
548,69299,CURSO_UTPL-TNEC018_18,AFFINITY-PROPAGATION,228,POLÍTICA ECONÓMICA I,ECONOMÍA
549,69308,CURSO_UTPL-TNEC008_18,AFFINITY-PROPAGATION,151,MACROECONOMÍA II,ECONOMÍA
550,69317,CURSO_UTPL-TN0172_18,AFFINITY-PROPAGATION,75,ECONOMÍA POPULAR Y SOLIDARIA,ECONOMÍA
551,69326,CURSO_UTPL-TN-ABF006_18,AFFINITY-PROPAGATION,184,FINANZAS I,ECONOMÍA
552,69794,CURSO_PRE-TNEC066_18,AFFINITY-PROPAGATION,78,GESTIÓN PRODUCTIVA GP 4.2,ECONOMÍA
553,70027,CURSO_UTPL-TNEC023_18,AFFINITY-PROPAGATION,75,ECONOMÍA INTERNACIONAL,ECONOMÍA
