,id_materia,codigo,metodo,cluster,asignatura,titulacion
194,24815,CURSO_PRE-TNCS064_18,HIERARCHY,4,GESTIÓN PRODUCTIVA GP 3.1,COMUNICACIÓN SOCIAL
195,24824,CURSO_UTPL-TNCS023_18,HIERARCHY,320,PENSAMIENTO SOCIOPOLÍTICO,COMUNICACIÓN SOCIAL
196,24833,CURSO_PRE-TNCS065_18,HIERARCHY,2,GESTIÓN PRODUCTIVA GP 3.2,COMUNICACIÓN SOCIAL
197,25163,CURSO_UTPL-TNCS009_18,HIERARCHY,362,SOCIOLOGÍA,COMUNICACIÓN SOCIAL
198,25172,CURSO_PRE-TNCS062_18,HIERARCHY,6,GESTIÓN PRODUCTIVA GP 2.1,COMUNICACIÓN SOCIAL
199,25181,CURSO_UTPL-TNCS015_18,HIERARCHY,177,DISEÑO GRAFICO,COMUNICACIÓN SOCIAL
200,25190,CURSO_UTPL-TNCS007_18,HIERARCHY,386,RADIO,COMUNICACIÓN SOCIAL
201,25199,CURSO_PRE-TNCS066_18,HIERARCHY,28,PROYECTO DE FIN DE CARRERA GP 4.1,COMUNICACIÓN SOCIAL
202,25208,CURSO_UTPL-TNCS010_18,HIERARCHY,387,ESTILO Y REDACCIÓN,COMUNICACIÓN SOCIAL
203,25217,CURSO_PRE-TNARQ084_18,HIERARCHY,6,GESTIÓN PRODUCTIVA GP 2.1,ARQUITECTURA
204,25439,CURSO_PRE-TNARQ097_18,HIERARCHY,2,GESTIÓN PRODUCTIVA GP 3.2,ARQUITECTURA
205,25660,CURSO_PRE-TNARQ105_18,HIERARCHY,15,GESTIÓN PRODUCTIVA GP 4.2,ARQUITECTURA
206,25861,CURSO_PRE-TNARQ096_18,HIERARCHY,207,PROGRAMACIÓN Y PRESUPUESTO,ARQUITECTURA
207,25870,CURSO_PRE-TNARQ053_18,HIERARCHY,435,CONSTRUCCIONES III,ARQUITECTURA
208,25879,CURSO_PRE-TNARQ075_18,HIERARCHY,463,HISTORIA DE LA ARQUITECTURA II,ARQUITECTURA
209,25888,CURSO_PRE-TNARQ070_18,HIERARCHY,43,MATEMÁTICAS,ARQUITECTURA
210,25897,CURSO_PRE-TNARQ032_18,HIERARCHY,387,PERSPECTIVAS Y SOMBRAS,ARQUITECTURA
211,25906,CURSO_PRE-TNARQ095_18,HIERARCHY,610,SISTEMA DE INSTALACIONES II,ARQUITECTURA
212,25915,CURSO_PRE-TNARQ069_18,HIERARCHY,443,DIBUJO ARTÍSTICO,ARQUITECTURA
213,26202,CURSO_PRE-TNARQ043_18,HIERARCHY,555,CONSTRUCCIONES I,ARQUITECTURA
214,26211,CURSO_PRE-TNARQ092_18,HIERARCHY,4,GESTIÓN PRODUCTIVA GP 3.1,ARQUITECTURA
