,id_materia,codigo,metodo,cluster,asignatura,titulacion
1025,218214,CURSO_PRE-TNETE107_20,HIERARCHY,280,FIXED AND MOBILE TELEPHONY,ELECTRÓNICA Y TELECOMUNICACIONES
1026,218618,CURSO_PRE-TNGA055_20,HIERARCHY,24,END OF CAREER PROJECT 4.1,GESTIÓN AMBIENTAL
1027,218884,CURSO_UTPL-TNGA022_20,HIERARCHY,293,ADMINISTRATION OF NATURAL RESOURCES,GESTIÓN AMBIENTAL
1028,219499,CURSO_PRE-TNGA080_20,HIERARCHY,10,PRODUCTIVE MANAGEMENT GP 1,GESTIÓN AMBIENTAL
1029,219725,CURSO_UTPL-TNGA010_20,HIERARCHY,153,ANIMAL DIVERSITY,GESTIÓN AMBIENTAL
1030,219958,CURSO_UTPL-TN0133_20,HIERARCHY,279,SEWAGE TREATMENT,INGENIERÍA QUÍMICA
1031,220395,CURSO_UTPL-TNGA020_20,HIERARCHY,133,DESIGN AND EVALUATION OF SOCIO-ENVIRONMENTAL PROJECTS,GESTIÓN AMBIENTAL
1032,220986,CURSO_UTPL-TNGA014_20,HIERARCHY,209,ECUADOR ECOSYSTEMS,GESTIÓN AMBIENTAL
1033,221320,CURSO_PRE-TNGA084_20,HIERARCHY,6,PRODUCTIVE MANAGEMENT GP 2.1,GESTIÓN AMBIENTAL
1034,221541,CURSO_UTPL-TNGA011_20,HIERARCHY,163,BOTANY APPLIED,GESTIÓN AMBIENTAL
1035,221904,CURSO_UTPL-TNGA008_20,HIERARCHY,154,GEOGRAPHIC INFORMATION SYSTEMS,GESTIÓN AMBIENTAL
1036,222223,CURSO_PRE-TNGA089_20,HIERARCHY,8,PRODUCTIVE MANAGEMENT GP 2.2,GESTIÓN AMBIENTAL
1037,222483,CURSO_UTPL-TNGA015_20,HIERARCHY,62,SUSTAINABLE SOIL MANAGEMENT,GESTIÓN AMBIENTAL
1038,222802,CURSO_PRE-TNGA093_20,HIERARCHY,4,PRODUCTIVE MANAGEMENT GP 3.1,GESTIÓN AMBIENTAL
1039,223110,CURSO_UTPL-TNGA009_20,HIERARCHY,211,TOXICOLOGY OF ECOSYSTEMS,GESTIÓN AMBIENTAL
1040,223528,CURSO_UTPL-TNGA026_20,HIERARCHY,239,PROTECTED AREAS,GESTIÓN AMBIENTAL
1041,223785,CURSO_UTPL-TNGA006_20,HIERARCHY,114,HUMAN ECOLOGY,GESTIÓN AMBIENTAL
1042,224153,CURSO_PRE-TNGA097_20,HIERARCHY,2,PRODUCTIVE MANAGEMENT GP 3.2,GESTIÓN AMBIENTAL
1043,224413,CURSO_PRE-TNGA105_20,HIERARCHY,26,END OF CAREER PROJECT 4.2,GESTIÓN AMBIENTAL
1044,224652,CURSO_UTPL-TNGA023_20,HIERARCHY,62,URBAN ENVIRONMENTAL MANAGEMENT,GESTIÓN AMBIENTAL
1045,225288,CURSO_UTPL-TNGA012_20,HIERARCHY,94,ENVIRONMENTAL LEGISLATION,GESTIÓN AMBIENTAL
1046,225635,CURSO_UTPL-TNGA018_20,HIERARCHY,173,FIELD BIOLOGY TECHNIQUES,GESTIÓN AMBIENTAL
1047,225860,CURSO_UTPL-TNGA017_20,HIERARCHY,284,ECONOMICS OF NATURAL RESOURCES AND SUSTAINABLE DEVELOPMENT,GESTIÓN AMBIENTAL
1048,226417,CURSO_PRE-TNGA101_20,HIERARCHY,24,END OF CAREER PROJECT 4.1,GESTIÓN AMBIENTAL
1049,226692,CURSO_UTPL-TNGA021_20,HIERARCHY,62,FLORA AND FAUNA MANAGEMENT,GESTIÓN AMBIENTAL
1050,227033,CURSO_UTPL-TNGA019_20,HIERARCHY,260,CLEAN AND ALTERNATIVE TECHNOLOGIES,GESTIÓN AMBIENTAL
1051,227689,CURSO_UTPL-TNGA016_20,HIERARCHY,141,EDUCATION AND ENVIRONMENTAL COMMUNICATION,GESTIÓN AMBIENTAL
1052,228073,CURSO_UTPL-TNGA027_20,HIERARCHY,186,ENVIRONMENTAL AUDITS,GESTIÓN AMBIENTAL
1053,228574,CURSO_UTPL-TNGA028_20,HIERARCHY,280,WATERSHEDS,GESTIÓN AMBIENTAL
1054,229126,CURSO_PRE-TNING058_20,HIERARCHY,8,PRODUCTIVE MANAGEMENT GP 2.2,INGLÉS
1055,229524,CURSO_UTPL-TNING016_20,HIERARCHY,126,PSYCHOLOGY AND LANGUAGE LEARNING,INGLÉS
1056,229869,CURSO_PRE-TNING061_20,HIERARCHY,2,PRODUCTIVE MANAGEMENT GP 3.2,INGLÉS
1057,230262,CURSO_PRE-TNING055_20,HIERARCHY,10,PRODUCTIVE MANAGEMENT GP 1,INGLÉS
1058,230564,CURSO_UTPL-TNING022_20,HIERARCHY,200,STATISTICS APPLIED TO EDUCATION,INGLÉS
1059,230909,CURSO_UTPL-TNING017_20,HIERARCHY,191,SYNTAX AND TEACHING GRAMMAR,INGLÉS
1060,231483,CURSO_UTPL-TNING003_20,HIERARCHY,192,LISTENING AND SPEAKING IV,INGLÉS
1061,232018,CURSO_PRE-TNING063_20,HIERARCHY,168,DEGREE WORK,INGLÉS
1062,232350,CURSO_UTPL-TNING065_20,HIERARCHY,225,CULTURE AND LITERATURE IN ENGLISH SPEAKING COMMUNITES,INGLÉS
1063,232651,CURSO_DIST-TNPS001_20,HIERARCHY,283,DEVELOPMENT OF INTELLIGENCE,INGLÉS
1064,233014,CURSO_UTPL-TNING018_20,HIERARCHY,225,ENGLISH PHONOLOGY PRONUNCIATIONS,INGLÉS
1065,233521,CURSO_UTPL-TNING023_20,HIERARCHY,280,LANGUAGE TESTING,INGLÉS
1066,234108,CURSO_UTPL-TNING010_20,HIERARCHY,191,COMMUNICATIVE GRAMMAR IV,INGLÉS
1067,234415,CURSO_UTPL-TNING006_20,HIERARCHY,192,LISTENING AND SPEAKING II,INGLÉS
1068,234424,CURSO_UTPL-TNING008_20,HIERARCHY,189,READING AND WRITING II,INGLÉS
1069,234433,CURSO_UTPL-TNING011_20,HIERARCHY,190,READING AND WRITING IV,INGLÉS
1070,234860,CURSO_UTPL-TNING012_20,HIERARCHY,224,THEORIES OF THE ENGLISH PEDAGOGY,INGLÉS
1071,235327,CURSO_PRE-TNING062_20,HIERARCHY,199,METHODOLOGY AND DIDACTICS III,INGLÉS
1072,235599,CURSO_DIST-TNEB019_20,HIERARCHY,280,DIFFICULTIES OF LEARNING,INGLÉS
1073,236024,CURSO_PRE-TNING059_20,HIERARCHY,199,METHODOLOGY AND DIDACTICS II,INGLÉS
1074,236578,CURSO_UTPL-TN0139_20,HIERARCHY,62,URBAN WASTE MANAGEMENT,INGENIERÍA CIVIL
1075,237130,CURSO_PRE-TNICI030_20,HIERARCHY,310,HYDROLOGY I,INGENIERÍA CIVIL
1076,237480,CURSO_PRE-TNICI054_20,HIERARCHY,311,CONCRETE II,INGENIERÍA CIVIL
1077,237768,CURSO_PRE-TNICI084_20,HIERARCHY,3,PRODUCTIVE MANAGEMENT 3.1,INGENIERÍA CIVIL
1078,238035,CURSO_PRE-TNICI051_20,HIERARCHY,280,FLOORING,INGENIERÍA CIVIL
1079,238398,CURSO_PRE-TNICI095_20,HIERARCHY,280,CIVIL WORKS,INGENIERÍA CIVIL
1080,239138,CURSO_UTPL-TN0144_20,HIERARCHY,185,SYSTEMS OF RURAL WATER SUPPLY,INGENIERÍA CIVIL
1081,239413,CURSO_PRE-TNICI040_20,HIERARCHY,118,HYDRAULICS I,INGENIERÍA CIVIL
1082,239796,CURSO_PRE-TNICI052_20,HIERARCHY,172,GEOLOGIC TECHNIQUES,INGENIERÍA CIVIL
1083,240337,CURSO_PRE-TNICI043_20,HIERARCHY,311,HYDRAULICS II,INGENIERÍA CIVIL
1084,240596,CURSO_PRE-TNICI080_20,HIERARCHY,7,PRODUCTIVE MANAGEMENT 2.2,INGENIERÍA CIVIL
